id,category,question,answer
3340,Returns,Can I request update for my payment?,Please allow some time for your payment to update.
3341,Offers,How long does it take to complete verify?,You can request verify from the help center anytime.
3342,Cancellation,Where can I view my tracking ID details?,Please allow some time for your tracking ID to update.
3343,Account,What should I do if my delivery is delayed?,The process for review usually takes 2–3 business days.
3344,Returns,How can I check the status of my shipment?,"If your shipment is delayed, please contact support."
3345,Account,What is the process for verify?,The process for verify usually takes 2–3 business days.
3346,Security,Is there a charge for track?,You will receive notifications regarding your subscription status.
3347,Refunds,How can I review my order?,Our support team is available 24/7 to help you with order.
3348,Warranty,How long does it take to complete update?,You will receive notifications regarding your order status.
3349,Product Info,Why is my warranty not updated?,Our support team is available 24/7 to help you with warranty.
3350,Tracking,Where can I view my order details?,"If your order is delayed, please contact support."
3351,Tracking,Can I request modify for my support ticket?,"If your support ticket is delayed, please contact support."
3352,Technical Support,What should I do if my order is delayed?,You can request verify from the help center anytime.
3353,Returns,Can I request update for my request?,"To update your request, go to your dashboard and follow the instructions."
3354,Shipping,How do I get support for request issues?,You can request approve from the help center anytime.
3355,Offers,Why is my support ticket not updated?,Please allow some time for your support ticket to update.
